area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
109.4,3,0,59,20,6,1,0,0,369,4929,1265,1100,4,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,179140,2,0,0,19,3,0,0,0,0,0,0,92,1
41.9,32,11,78,26,272,87,1,0,235,1200,417,1400,3,18,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,76303,2,5,1,434,144,3,1,0,0,1,0,167,49
63.9,32,11,78,26,272,87,1,0,235,1200,417,1500,2,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,83331,2,5,1,434,144,3,1,0,0,1,0,167,49
75.0,5,1,33,5,14,4,0,0,174,5011,504,2800,3,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,133866,2,1,0,73,6,0,0,8,3,1,0,24,14
80.0,19,6,80,23,85,12,1,0,142,4736,628,900,5,6,0,0,3,1,4,3,1,0,64,62,56,58,13,1,22,2,21,4,137500,2,2,0,180,26,0,0,12,4,1,1,181,42
98.0,16,1,54,24,110,27,1,0,57,2296,1035,500,4,6,4,0,8,3,7,4,4,0,63,50,47,42,9,2,17,2,88,10,139795,2,0,0,181,61,1,1,14,6,0,0,211,32
59.1,32,11,78,26,272,87,1,0,235,1200,417,1500,1,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,80308,2,5,1,434,144,3,1,0,0,1,0,167,49
27.0,1,0,59,12,9,2,0,0,66,7846,1924,3300,9,22,0,0,0,0,0,0,1,1,49,60,44,55,2,0,1,0,5,2,102222,2,0,0,71,18,0,0,12,4,0,0,32,5
75.0,3,0,30,6,40,8,0,0,143,6211,953,700,11,19,1,0,3,0,2,1,1,0,50,43,44,40,1,0,37,4,3,2,147290,2,1,0,166,37,1,0,8,5,0,0,147,35
73.6,2,2,16,0,15,1,0,0,740,5443,704,800,15,16,0,0,2,0,0,0,1,1,64,66,50,60,3,1,12,3,3,0,180706,2,1,0,34,5,0,0,2,0,0,0,190,24
44.8,6,2,33,12,37,7,0,0,94,6367,376,900,1,20,2,1,4,1,3,1,2,0,51,41,45,24,1,0,42,4,4,3,110879,2,2,1,176,43,1,0,0,0,0,0,149,13
60.9,32,11,78,26,272,87,1,0,235,1200,417,1500,1,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,80893,2,5,1,434,144,3,1,0,0,1,0,167,49
66.0,15,0,53,6,58,13,0,0,174,4806,722,1100,4,12,0,0,2,2,4,0,3,0,67,59,55,50,8,3,21,2,20,0,212121,2,2,0,89,24,0,0,10,0,1,1,203,52
63.3,35,16,90,23,303,129,1,0,307,983,214,400,4,4,3,1,2,1,99,42,12,5,55,53,40,42,108,28,277,120,122,60,268562,2,5,4,513,187,3,1,9,0,1,0,232,60
45.8,53,8,85,13,486,105,6,1,148,945,181,14000,2,11,8,2,9,2,169,39,6,2,53,68,45,55,170,63,324,53,88,26,65497,2,11,3,1041,214,3,0,16,4,6,3,470,55
37.3,0,0,44,14,6,0,0,0,402,5057,2462,600,2,4,2,0,0,0,2,0,0,0,53,54,50,49,0,0,4,0,1,0,146949,2,0,0,26,4,1,0,7,2,0,0,124,10
102.0,59,15,94,42,477,149,4,3,171,1395,566,400,5,6,10,1,11,1,195,53,13,3,51,49,40,40,148,27,297,95,41,12,115686,2,9,0,1256,429,5,2,14,7,0,0,442,202
93.0,5,1,33,5,14,4,0,0,174,5011,504,2800,3,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,130107,2,1,0,73,6,0,0,8,3,1,0,24,14
87.2,2,0,49,18,11,1,0,0,177,4480,1048,1300,10,10,0,0,1,0,1,0,2,0,61,72,55,55,1,0,5,2,4,0,205500,2,0,0,35,3,0,0,0,0,0,0,143,16
45.0,53,8,85,13,486,105,6,1,148,945,181,14000,2,11,8,2,9,2,169,39,6,2,53,68,45,55,170,63,324,53,88,26,65469,2,11,3,1041,214,3,0,16,4,6,3,470,55
61.5,32,11,78,26,272,87,1,0,235,1200,417,1500,5,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,83401,2,5,1,434,144,3,1,0,0,1,0,167,49
72.0,8,2,63,13,64,12,0,0,119,4537,688,600,2,8,1,0,1,0,1,1,2,1,60,63,50,47,9,0,12,3,11,1,222347,2,1,0,167,21,1,0,4,0,1,1,268,30
42.3,32,11,78,26,272,87,1,0,235,1200,417,1400,18,18,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,73278,2,5,1,434,144,3,1,0,0,1,0,167,49
81.0,5,1,33,5,14,4,0,0,174,5011,504,2800,5,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,132962,2,1,0,73,6,0,0,8,3,1,0,24,14
79.0,5,1,33,5,14,4,0,0,174,5011,504,2800,4,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,134936,2,1,0,73,6,0,0,8,3,1,0,24,14
63.9,32,11,78,26,272,87,1,0,235,1200,417,1500,2,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,83331,2,5,1,434,144,3,1,0,0,1,0,167,49
39.7,13,5,89,29,22,14,1,1,194,8151,1096,2900,4,9,0,0,0,0,0,0,3,1,34,32,32,29,5,1,5,4,7,2,93198,1,0,0,146,55,0,0,15,1,0,0,65,19
71.0,0,0,1,0,6,0,1,0,678,8189,3965,1400,5,13,0,0,0,0,0,0,0,0,44,46,41,42,0,0,1,0,2,0,159154,2,0,0,12,0,0,0,0,0,0,0,26,18
68.0,40,11,111,23,381,120,2,0,143,1619,349,500,4,4,10,3,3,0,127,36,12,1,59,48,45,40,74,20,341,115,90,16,151470,2,7,1,961,332,3,1,10,3,1,0,193,104
40.0,2,1,9,0,20,4,0,0,548,5280,1069,1200,4,14,0,0,2,0,0,0,2,1,66,83,50,60,3,0,22,5,3,0,121768,2,0,0,44,6,0,0,0,0,0,0,194,42
60.9,32,11,78,26,272,87,1,0,235,1200,417,1500,1,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,80893,2,5,1,434,144,3,1,0,0,1,0,167,49
106.2,2,0,49,18,11,1,0,0,177,4480,1048,1300,2,10,0,0,1,0,1,0,2,0,61,72,55,55,1,0,5,2,4,0,165500,2,0,0,35,3,0,0,0,0,0,0,143,16
75.0,5,1,33,5,14,4,0,0,174,5011,504,2800,3,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,133866,2,1,0,73,6,0,0,8,3,1,0,24,14
41.1,6,2,33,12,37,7,0,0,94,6367,376,900,4,20,2,1,4,1,3,1,2,0,51,41,45,24,1,0,42,4,4,3,100475,2,2,1,176,43,1,0,0,0,0,0,149,13
61.1,8,4,99,28,46,10,0,0,122,3886,690,1300,4,7,3,1,1,1,4,0,2,0,44,44,34,30,9,1,37,3,27,9,189656,2,4,0,108,23,0,0,13,2,8,1,217,135
69.0,12,0,47,6,51,12,0,0,212,4859,721,1200,4,13,0,0,2,2,4,0,2,0,65,60,50,52,8,3,20,3,19,0,149275,2,2,0,85,23,0,0,6,0,1,0,197,36
41.9,32,11,78,26,272,87,1,0,235,1200,417,1400,3,18,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,76303,2,5,1,434,144,3,1,0,0,1,0,167,49
37.3,0,0,44,14,6,0,0,0,402,5057,2462,600,2,4,2,0,0,0,2,0,0,0,53,54,50,49,0,0,4,0,1,0,146949,2,0,0,26,4,1,0,7,2,0,0,124,10
73.6,2,2,16,0,15,1,0,0,740,5443,704,800,15,16,0,0,2,0,0,0,1,1,64,66,50,60,3,1,12,3,3,0,180706,2,1,0,34,5,0,0,2,0,0,0,190,24
39.3,2,1,9,0,20,4,0,0,548,5280,1069,1200,9,14,0,0,2,0,0,0,2,1,66,83,50,60,3,0,22,5,3,0,124041,2,0,0,44,6,0,0,0,0,0,0,194,42
80.0,19,6,80,23,85,12,1,0,142,4736,628,900,5,6,0,0,3,1,4,3,1,0,64,62,56,58,13,1,22,2,21,4,137500,2,2,0,180,26,0,0,12,4,1,1,181,42
66.3,3,0,59,20,6,1,0,0,369,4929,1265,1100,7,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,215686,2,0,0,19,3,0,0,0,0,0,0,92,1
59.1,32,11,78,26,272,87,1,0,235,1200,417,1500,1,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,80308,2,5,1,434,144,3,1,0,0,1,0,167,49
61.5,32,11,78,26,272,87,1,0,235,1200,417,1500,5,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,83401,2,5,1,434,144,3,1,0,0,1,0,167,49
44.8,6,2,33,12,37,7,0,0,94,6367,376,900,1,20,2,1,4,1,3,1,2,0,51,41,45,24,1,0,42,4,4,3,110879,2,2,1,176,43,1,0,0,0,0,0,149,13
63.3,35,16,90,23,303,129,1,0,307,983,214,400,4,4,3,1,2,1,99,42,12,5,55,53,40,42,108,28,277,120,122,60,268562,2,5,4,513,187,3,1,9,0,1,0,232,60
75.0,3,0,30,6,40,8,0,0,143,6211,953,700,11,19,1,0,3,0,2,1,1,0,50,43,44,40,1,0,37,4,3,2,147290,2,1,0,166,37,1,0,8,5,0,0,147,35
63.2,7,2,37,4,39,15,0,0,239,4721,1390,1000,3,9,4,0,2,1,1,0,2,1,58,64,48,55,3,1,26,8,14,3,169307,2,0,0,105,14,0,0,11,2,1,0,251,87
87.2,2,0,49,18,11,1,0,0,177,4480,1048,1300,10,10,0,0,1,0,1,0,2,0,61,72,55,55,1,0,5,2,4,0,205500,2,0,0,35,3,0,0,0,0,0,0,143,16
48.1,6,1,50,16,22,5,1,1,52,8770,2143,9200,2,9,1,1,0,0,0,0,2,1,39,60,36,60,2,0,7,0,13,2,90935,2,0,0,119,18,1,0,10,4,0,0,50,3
40.0,2,1,9,0,20,4,0,0,548,5280,1069,1200,4,14,0,0,2,0,0,0,2,1,66,83,50,60,3,0,22,5,3,0,121768,2,0,0,44,6,0,0,0,0,0,0,194,42
82.0,46,20,110,36,441,163,2,1,193,1318,488,300,4,4,7,2,3,0,145,51,13,4,57,49,42,40,111,34,376,140,90,14,176682,2,5,1,1076,525,5,3,10,5,1,0,227,105
93.0,5,1,33,5,14,4,0,0,174,5011,504,2800,3,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,130107,2,1,0,73,6,0,0,8,3,1,0,24,14
41.1,6,2,33,12,37,7,0,0,94,6367,376,900,4,20,2,1,4,1,3,1,2,0,51,41,45,24,1,0,42,4,4,3,100475,2,2,1,176,43,1,0,0,0,0,0,149,13
42.3,32,11,78,26,272,87,1,0,235,1200,417,1400,18,18,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,73278,2,5,1,434,144,3,1,0,0,1,0,167,49
71.0,0,0,1,0,6,0,1,0,678,8189,3965,1400,5,13,0,0,0,0,0,0,0,0,44,46,41,42,0,0,1,0,2,0,159154,2,0,0,12,0,0,0,0,0,0,0,26,18
39.3,2,1,9,0,20,4,0,0,548,5280,1069,1200,9,14,0,0,2,0,0,0,2,1,66,83,50,60,3,0,22,5,3,0,124041,2,0,0,44,6,0,0,0,0,0,0,194,42
81.0,5,1,33,5,14,4,0,0,174,5011,504,2800,5,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,132962,2,1,0,73,6,0,0,8,3,1,0,24,14
46.0,3,0,48,12,3,0,0,0,2,9232,1214,4100,5,9,1,0,1,0,0,0,0,0,46,0,46,0,3,1,2,0,2,0,93478,2,0,0,64,10,0,0,14,0,0,0,2,0
43.7,1,0,11,0,2,0,0,0,641,7341,2130,2100,7,18,0,0,0,0,2,0,1,0,50,30,36,30,1,0,1,0,5,0,114187,1,0,0,7,0,0,0,0,0,0,0,13,1
63.9,32,11,78,26,272,87,1,0,235,1200,417,1500,2,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,83331,2,5,1,434,144,3,1,0,0,1,0,167,49
106.2,2,0,49,18,11,1,0,0,177,4480,1048,1300,2,10,0,0,1,0,1,0,2,0,61,72,55,55,1,0,5,2,4,0,165500,2,0,0,35,3,0,0,0,0,0,0,143,16
79.0,5,1,33,5,14,4,0,0,174,5011,504,2800,4,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,134936,2,1,0,73,6,0,0,8,3,1,0,24,14
65.7,20,4,71,8,83,17,1,0,134,4654,648,1000,13,14,0,0,3,2,4,1,3,0,66,58,55,52,12,4,28,3,34,2,165144,2,2,0,161,30,0,0,11,0,1,1,231,64
60.9,32,11,78,26,272,87,1,0,235,1200,417,1500,1,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,80893,2,5,1,434,144,3,1,0,0,1,0,167,49
43.7,1,0,11,0,2,0,0,0,641,7341,2130,2100,7,18,0,0,0,0,2,0,1,0,50,30,36,30,1,0,1,0,5,0,114187,1,0,0,7,0,0,0,0,0,0,0,13,1
69.0,12,0,47,6,51,12,0,0,212,4859,721,1200,4,13,0,0,2,2,4,0,2,0,65,60,50,52,8,3,20,3,19,0,149275,2,2,0,85,23,0,0,6,0,1,0,197,36
95.0,42,10,94,34,281,72,3,0,148,1987,467,700,2,7,7,2,11,1,117,37,9,2,51,58,40,49,58,20,211,28,24,1,196842,2,6,1,901,242,3,0,10,1,0,0,279,46
48.1,6,1,50,16,22,5,1,1,52,8770,2143,9200,2,9,1,1,0,0,0,0,2,1,39,60,36,60,2,0,7,0,13,2,90935,2,0,0,119,18,1,0,10,4,0,0,50,3
42.0,0,0,2,0,0,0,0,0,815,6202,3130,1800,17,25,0,0,0,0,0,0,1,0,67,55,57,55,0,0,0,0,0,0,110714,1,0,0,7,0,0,0,0,0,0,0,44,1
37.3,0,0,44,14,6,0,0,0,402,5057,2462,600,2,4,2,0,0,0,2,0,0,0,53,54,50,49,0,0,4,0,1,0,146949,2,0,0,26,4,1,0,7,2,0,0,124,10
66.3,3,0,59,20,6,1,0,0,369,4929,1265,1100,7,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,215686,2,0,0,19,3,0,0,0,0,0,0,92,1
75.0,5,1,33,5,14,4,0,0,174,5011,504,2800,3,14,1,0,0,0,0,0,0,0,60,65,52,49,2,0,10,2,24,8,133866,2,1,0,73,6,0,0,8,3,1,0,24,14
72.0,28,7,101,23,302,78,1,0,124,1958,296,700,2,4,9,3,4,0,80,24,9,2,52,45,45,48,47,14,281,74,67,13,243055,2,5,2,814,217,3,0,15,4,0,0,166,23
61.5,32,11,78,26,272,87,1,0,235,1200,417,1500,5,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,83401,2,5,1,434,144,3,1,0,0,1,0,167,49
42.0,0,0,2,0,0,0,0,0,815,6202,3130,1800,17,25,0,0,0,0,0,0,1,0,67,55,57,55,0,0,0,0,0,0,110714,1,0,0,7,0,0,0,0,0,0,0,44,1
63.2,7,2,37,4,39,15,0,0,239,4721,1390,1000,3,9,4,0,2,1,1,0,2,1,58,64,48,55,3,1,26,8,14,3,169307,2,0,0,105,14,0,0,11,2,1,0,251,87
73.6,2,2,16,0,15,1,0,0,740,5443,704,800,15,16,0,0,2,0,0,0,1,1,64,66,50,60,3,1,12,3,3,0,180706,2,1,0,34,5,0,0,2,0,0,0,190,24
46.0,3,0,48,12,3,0,0,0,2,9232,1214,4100,5,9,1,0,1,0,0,0,0,0,46,0,46,0,3,1,2,0,2,0,93478,2,0,0,64,10,0,0,14,0,0,0,2,0
40.0,1,0,13,2,3,2,0,0,484,7257,2046,1900,13,18,0,0,0,0,2,2,2,1,47,32,34,34,1,1,2,0,5,1,127500,1,0,0,9,1,0,0,0,0,0,0,17,5
60.0,31,1,108,19,163,28,2,0,33,4026,140,500,2,5,2,0,4,0,16,1,7,1,62,44,51,40,31,6,53,3,43,0,208166,2,2,1,499,85,2,0,9,0,1,1,296,19
63.3,35,16,90,23,303,129,1,0,307,983,214,400,4,4,3,1,2,1,99,42,12,5,55,53,40,42,108,28,277,120,122,60,268562,2,5,4,513,187,3,1,9,0,1,0,232,60
40.0,2,1,9,0,20,4,0,0,548,5280,1069,1200,4,14,0,0,2,0,0,0,2,1,66,83,50,60,3,0,22,5,3,0,121768,2,0,0,44,6,0,0,0,0,0,0,194,42
86.0,5,2,60,16,15,10,0,0,94,6904,1835,1300,11,15,1,0,1,1,1,1,1,1,39,45,36,41,3,3,6,5,1,0,197674,2,0,0,63,22,0,0,4,0,0,0,16,10
82.0,46,20,110,36,441,163,2,1,193,1318,488,300,4,4,7,2,3,0,145,51,13,4,57,49,42,40,111,34,376,140,90,14,176682,2,5,1,1076,525,5,3,10,5,1,0,227,105
40.0,1,0,13,2,3,2,0,0,484,7257,2046,1900,13,18,0,0,0,0,2,2,2,1,47,32,34,34,1,1,2,0,5,1,127500,1,0,0,9,1,0,0,0,0,0,0,17,5
87.2,2,0,49,18,11,1,0,0,177,4480,1048,1300,10,10,0,0,1,0,1,0,2,0,61,72,55,55,1,0,5,2,4,0,205500,2,0,0,35,3,0,0,0,0,0,0,143,16
41.1,6,2,33,12,37,7,0,0,94,6367,376,900,4,20,2,1,4,1,3,1,2,0,51,41,45,24,1,0,42,4,4,3,100475,2,2,1,176,43,1,0,0,0,0,0,149,13
71.0,15,0,53,6,56,15,0,0,134,4780,772,1100,5,13,0,0,2,2,4,0,3,0,67,58,55,50,8,3,21,3,19,0,147887,2,2,0,92,25,0,0,10,0,1,1,202,51
45.0,3,0,15,3,18,3,0,0,369,4692,1702,3300,4,4,0,0,0,0,1,0,0,0,56,53,48,47,1,0,6,0,3,0,117777,2,0,0,39,5,0,0,0,0,0,0,184,35
39.3,2,1,9,0,20,4,0,0,548,5280,1069,1200,9,14,0,0,2,0,0,0,2,1,66,83,50,60,3,0,22,5,3,0,124041,2,0,0,44,6,0,0,0,0,0,0,194,42
39.9,0,0,0,0,0,0,0,0,1104,6286,3539,1300,15,19,0,0,0,0,0,0,0,0,55,59,49,42,0,0,0,0,0,0,124060,1,0,0,2,0,0,0,0,0,0,0,100,6
65.7,20,4,71,8,83,17,1,0,134,4654,648,1000,13,14,0,0,3,2,4,1,3,0,66,58,55,52,12,4,28,3,34,2,165144,2,2,0,161,30,0,0,11,0,1,1,231,64
71.0,0,0,1,0,6,0,1,0,678,8189,3965,1400,5,13,0,0,0,0,0,0,0,0,44,46,41,42,0,0,1,0,2,0,159154,2,0,0,12,0,0,0,0,0,0,0,26,18
95.0,42,10,94,34,281,72,3,0,148,1987,467,700,2,7,7,2,11,1,117,37,9,2,51,58,40,49,58,20,211,28,24,1,196842,2,6,1,901,242,3,0,10,1,0,0,279,46
48.1,6,1,50,16,22,5,1,1,52,8770,2143,9200,2,9,1,1,0,0,0,0,2,1,39,60,36,60,2,0,7,0,13,2,90935,2,0,0,119,18,1,0,10,4,0,0,50,3
39.9,0,0,0,0,0,0,0,0,1104,6286,3539,1300,15,19,0,0,0,0,0,0,0,0,55,59,49,42,0,0,0,0,0,0,124060,1,0,0,2,0,0,0,0,0,0,0,100,6
106.2,2,0,49,18,11,1,0,0,177,4480,1048,1300,2,10,0,0,1,0,1,0,2,0,61,72,55,55,1,0,5,2,4,0,165500,2,0,0,35,3,0,0,0,0,0,0,143,16
72.0,28,7,101,23,302,78,1,0,124,1958,296,700,2,4,9,3,4,0,80,24,9,2,52,45,45,48,47,14,281,74,67,13,243055,2,5,2,814,217,3,0,15,4,0,0,166,23
69.4,5,0,53,22,11,3,1,0,83,6688,1704,1000,6,17,0,0,2,1,1,0,2,1,44,21,35,19,8,2,6,1,4,2,159942,2,0,0,74,16,1,0,8,4,0,0,50,3
69.0,12,0,47,6,51,12,0,0,212,4859,721,1200,4,13,0,0,2,2,4,0,2,0,65,60,50,52,8,3,20,3,19,0,149275,2,2,0,85,23,0,0,6,0,1,0,197,36
71.5,24,12,71,39,103,28,1,1,37,2653,1130,500,7,7,5,3,5,2,55,14,4,2,50,46,44,40,15,3,93,39,15,7,198601,2,0,0,365,128,2,0,7,5,1,0,180,131
60.0,31,1,108,19,163,28,2,0,33,4026,140,500,2,5,2,0,4,0,16,1,7,1,62,44,51,40,31,6,53,3,43,0,208166,2,2,1,499,85,2,0,9,0,1,1,296,19
66.3,3,0,59,20,6,1,0,0,369,4929,1265,1100,7,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,215686,2,0,0,19,3,0,0,0,0,0,0,92,1
46.0,3,0,48,12,3,0,0,0,2,9232,1214,4100,5,9,1,0,1,0,0,0,0,0,46,0,46,0,3,1,2,0,2,0,93478,2,0,0,64,10,0,0,14,0,0,0,2,0
